日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-09,8,4236.0,717,"[2, 5, 5, 5, 2, 7, 3, 5, 4, 0, 4, 7, 4, 1, 4, 4, 6, 2, 6, 0]","[2, 5, 2, 7, 3, 5, 4, 0, 4]","[0, 120, 180, 270, 345, 360, 420, 480, 675]"
2022-07-09,8,5172.0,739,"[3, 7, 3, 4, 2, 6, 7, 6, 4, 5, 1, 0, 0, 0, 3]","[3, 7, 3, 4, 2, 6, 7, 6, 4, 5, 1]","[0, 30, 75, 165, 225, 300, 360, 435, 510, 555, 630]"
2022-07-09,9,4201.0,721,"[2, 5, 5, 1, 2, 4, 6, 4, 4, 1, 5, 3, 2, 6, 2, 6, 2, 0, 4, 0]","[2, 5, 1, 2, 4, 6, 4, 1, 5]","[0, 120, 180, 300, 390, 465, 525, 585, 705]"
2022-07-09,2,4264.0,737,"[4, 3, 1, 3, 4, 4, 3, 2, 2, 3, 7, 0, 6, 5, 3, 3, 6, 2, 7]","[4, 3, 1, 3, 4, 3, 2, 3, 7]","[0, 30, 120, 240, 330, 405, 480, 570, 660]"
2022-07-09,8,4643.0,718,"[5, 5, 6, 4, 6, 3, 5, 1, 3, 5, 0, 0, 3, 0, 1]","[5, 6, 4, 6, 3, 5, 1, 3, 5, 0]","[0, 30, 60, 135, 195, 270, 315, 405, 495, 540]"
2022-07-09,4,4754.0,727,"[4, 7, 4, 7, 0, 4, 7, 4, 5, 3, 4]","[4, 7, 4, 7, 0, 4, 7, 4, 5, 3]","[0, 30, 75, 135, 225, 390, 450, 540, 615, 660]"
2022-07-09,10,3738.0,745,"[6, 1, 3, 5, 6, 2, 7, 0, 3, 5, 3, 7, 0, 5, 2, 5, 3, 1]","[6, 1, 3, 5, 6, 2, 7, 0]","[0, 45, 180, 270, 315, 390, 495, 570]"
2022-07-09,6,3300.0,504,"[4, 2, 6, 4, 4, 4, 6, 6, 6, 1, 4]","[4, 2, 6, 4, 6, 1, 4]","[0, 30, 135, 195, 255, 330, 450]"
2022-07-09,8,5133.0,706,"[6, 7, 3, 5, 4, 5, 4, 5, 1, 4, 6, 6, 5, 3, 6, 7, 3]","[6, 7, 3, 5, 4, 5, 4, 5, 1, 4, 6]","[0, 45, 90, 180, 225, 300, 345, 420, 480, 615, 675]"
2022-07-09,8,5125.0,726,"[6, 3, 4, 5, 7, 5, 7, 6, 7, 6, 5, 3, 3, 2, 5, 5, 6]","[6, 3, 4, 5, 7, 5, 7, 6, 7, 6, 5]","[0, 45, 120, 195, 240, 330, 375, 465, 540, 630, 675]"
2022-07-09,7,4682.0,719,"[3, 6, 6, 7, 5, 6, 4, 5, 5, 7, 3, 0, 2, 0, 3]","[3, 6, 7, 5, 6, 4, 5, 7, 3, 0]","[0, 30, 75, 135, 195, 255, 315, 375, 465, 540]"
2022-07-09,3,4713.0,718,"[3, 5, 5, 4, 4, 2, 7, 0, 3, 7, 5, 4, 3, 5, 2]","[3, 5, 4, 2, 7, 0, 3, 7, 5, 4]","[0, 30, 60, 120, 240, 315, 465, 555, 630, 675]"
2022-07-09,9,4205.0,665,"[6, 5, 5, 7, 3, 2, 5, 5, 3, 3, 4, 4, 4, 1]","[6, 5, 7, 3, 2, 5, 3, 4, 1]","[0, 45, 90, 165, 255, 345, 405, 480, 555]"
2022-07-09,7,4733.0,750,"[4, 3, 7, 4, 6, 7, 3, 3, 7, 6, 6, 6, 2, 0, 2, 4, 1, 4]","[4, 3, 7, 4, 6, 7, 3, 7, 6, 2]","[0, 30, 120, 210, 270, 345, 420, 495, 570, 645]"
