日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-11,7521,675,"[3, 4, 3, 2, 3, 5, 4, 4, 5, 6, 2, 2, 4, 5, 3, 4, 3, 7]","[3, 4, 3, 2, 3, 5, 4, 5, 6, 2, 4, 5, 3, 4, 3, 7]","[0, 30, 60, 120, 180, 225, 270, 300, 330, 390, 450, 480, 510, 555, 585, 615]"
2022-07-11,7544,670,"[4, 2, 6, 7, 4, 3, 5, 4, 0, 4, 4, 5, 4, 3, 0, 4, 5, 0]","[4, 2, 6, 7, 4, 3, 5, 4, 0, 4, 5, 4, 3, 0, 4, 5]","[0, 45, 120, 195, 255, 285, 330, 375, 390, 465, 480, 510, 540, 570, 630, 660]"
2022-07-11,7542,669,"[4, 7, 0, 0, 3, 5, 2, 3, 7, 3, 4, 5, 4, 2, 3, 5, 4]","[4, 7, 0, 3, 5, 2, 3, 7, 3, 4, 5, 4, 2, 3, 5, 4]","[0, 45, 90, 180, 225, 255, 315, 360, 435, 465, 480, 510, 540, 600, 630, 660]"
2022-07-11,7501,673,"[6, 2, 4, 2, 6, 4, 5, 3, 5, 4, 6, 4, 3, 5, 4, 3, 3]","[6, 2, 4, 2, 6, 4, 5, 3, 5, 4, 6, 4, 3, 5, 4, 3]","[0, 45, 135, 180, 240, 285, 330, 360, 405, 435, 465, 525, 555, 585, 615, 645]"
2022-07-11,7533,674,"[4, 6, 6, 1, 3, 4, 4, 2, 3, 2, 0, 3, 4, 5, 4, 5, 2, 3]","[4, 6, 1, 3, 4, 2, 3, 2, 0, 3, 4, 5, 4, 5, 2, 3]","[0, 45, 75, 135, 195, 225, 285, 315, 375, 450, 480, 495, 525, 555, 585, 645]"
