日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-07-27,6077,675,"[4, 6, 5, 2, 4, 4, 5, 3, 2, 3, 2, 6, 5, 5, 0]","[4, 6, 5, 2, 4, 5, 3, 2, 3, 2, 6, 5, 0]","[0, 30, 60, 120, 195, 270, 315, 330, 405, 495, 555, 630, 660]"
2023-07-27,6081,675,"[4, 6, 2, 6, 3, 3, 4, 3, 6, 4, 4, 5, 1, 3, 5]","[4, 6, 2, 6, 3, 4, 3, 6, 4, 5, 1, 3, 5]","[0, 30, 60, 135, 195, 285, 345, 360, 435, 510, 555, 570, 645]"
2023-07-27,6104,673,"[1, 4, 6, 5, 7, 2, 6, 6, 3, 0, 4, 4, 4, 7, 5, 5, 0]","[1, 4, 6, 5, 7, 2, 6, 3, 0, 4, 7, 5, 0]","[0, 30, 60, 105, 150, 225, 285, 345, 360, 465, 540, 615, 660]"
2023-07-27,6109,674,"[3, 4, 6, 4, 2, 5, 5, 6, 3, 2, 4, 2, 4, 5]","[3, 4, 6, 4, 2, 5, 6, 3, 2, 4, 2, 4, 5]","[0, 30, 60, 105, 180, 240, 300, 360, 375, 450, 525, 585, 645]"
2023-07-27,6084,653,"[5, 4, 6, 6, 3, 4, 2, 4, 3, 3, 5, 2, 2, 1, 3, 5]","[5, 4, 6, 3, 4, 2, 4, 3, 5, 2, 1, 3, 5]","[0, 30, 60, 105, 180, 240, 300, 360, 390, 450, 495, 525, 615]"
2023-07-27,6071,655,"[0, 4, 6, 1, 2, 4, 3, 2, 5, 1, 6, 5, 6]","[0, 4, 6, 1, 2, 4, 3, 2, 5, 1, 6, 5, 6]","[0, 30, 60, 105, 195, 255, 315, 330, 405, 465, 495, 540, 600]"
2023-07-27,6054,664,"[2, 5, 6, 2, 7, 5, 5, 3, 7, 2, 1, 5, 2, 5]","[2, 5, 6, 2, 7, 5, 3, 7, 2, 1, 5, 2, 5]","[0, 30, 45, 90, 150, 225, 285, 360, 450, 510, 525, 570, 630]"
2023-07-27,6108,673,"[3, 7, 7, 6, 2, 5, 5, 4, 2, 6, 1, 4, 1, 3, 0, 0, 1]","[3, 7, 6, 2, 5, 4, 2, 6, 1, 4, 1, 3, 0]","[0, 30, 90, 150, 225, 270, 345, 405, 480, 495, 555, 585, 660]"
2023-07-27,6102,670,"[3, 3, 3, 6, 4, 4, 4, 1, 6, 6, 4, 3, 4, 2, 4, 1, 1, 5, 6]","[3, 6, 4, 1, 6, 4, 3, 4, 2, 4, 1, 5, 6]","[0, 30, 60, 120, 210, 285, 345, 360, 435, 480, 540, 570, 630]"
2023-07-27,6097,666,"[2, 5, 4, 3, 4, 2, 3, 5, 2, 1, 2, 2, 2, 4, 5]","[2, 5, 4, 3, 4, 2, 3, 5, 2, 1, 2, 4, 5]","[0, 30, 45, 120, 195, 255, 315, 345, 405, 480, 495, 570, 630]"
