日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-10,4631,666,"[5, 6, 4, 5, 6, 4, 5, 6, 6, 5, 4]","[5, 6, 4, 5, 6, 4, 5, 6, 5, 4]","[0, 30, 75, 165, 240, 315, 420, 435, 525, 540]"
2023-08-10,4198,672,"[4, 6, 5, 2, 5, 7, 7, 5, 7, 3]","[4, 6, 5, 2, 5, 7, 5, 7, 3]","[0, 30, 75, 150, 255, 345, 435, 450, 555]"
2023-08-10,4679,659,"[4, 6, 6, 7, 4, 5, 6, 5, 7, 7, 6, 0, 0]","[4, 6, 7, 4, 5, 6, 5, 7, 6, 0]","[0, 30, 75, 165, 285, 375, 465, 480, 585, 645]"
2023-08-10,4229,672,"[6, 7, 6, 4, 6, 2, 2, 6, 7, 7, 0, 1]","[6, 7, 6, 4, 6, 2, 6, 7, 0]","[0, 45, 105, 180, 315, 390, 495, 570, 660]"
2023-08-10,4228,652,"[5, 5, 2, 7, 2, 7, 2, 5, 2, 2, 2, 0, 0]","[5, 2, 7, 2, 7, 2, 5, 2, 0]","[0, 30, 120, 225, 330, 390, 495, 510, 645]"
2023-08-10,4225,664,"[4, 6, 7, 1, 4, 4, 6, 6, 5, 3, 0]","[4, 6, 7, 1, 4, 6, 5, 3, 0]","[0, 30, 75, 165, 300, 405, 495, 510, 645]"
2023-08-10,4217,666,"[4, 4, 7, 4, 6, 5, 2, 5, 4, 6]","[4, 7, 4, 6, 5, 2, 5, 4, 6]","[0, 30, 105, 195, 270, 360, 450, 465, 600]"
2023-08-10,4231,659,"[4, 5, 4, 5, 4, 7, 3, 6, 6, 0]","[4, 5, 4, 5, 4, 7, 3, 6, 0]","[0, 30, 75, 165, 240, 375, 465, 585, 645]"
2023-08-10,4231,661,"[4, 6, 6, 2, 7, 3, 5, 7, 6, 0, 0]","[4, 6, 2, 7, 3, 5, 7, 6, 0]","[0, 30, 75, 165, 255, 390, 465, 570, 645]"
2023-08-10,4217,654,"[4, 6, 5, 5, 7, 1, 7, 5, 2, 2, 7]","[4, 6, 5, 7, 1, 7, 5, 2, 7]","[0, 30, 75, 150, 240, 375, 465, 480, 570]"
