日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-07-05,6566,659,"[4, 4, 6, 2, 3, 3, 4, 4, 4, 6, 3, 2, 5, 4, 5, 7, 4, 5]","[4, 6, 2, 3, 4, 6, 3, 2, 5, 4, 5, 7, 4, 5]","[0, 30, 60, 120, 210, 255, 315, 390, 450, 495, 510, 555, 600, 630]"
2023-07-05,6530,673,"[2, 5, 6, 7, 5, 5, 4, 3, 4, 2, 6, 5, 3, 5, 5, 3]","[2, 5, 6, 7, 5, 4, 3, 4, 2, 6, 5, 3, 5, 3]","[0, 30, 60, 105, 165, 210, 270, 330, 390, 465, 525, 555, 585, 615]"
2023-07-05,6536,638,"[2, 5, 3, 5, 5, 3, 2, 4, 2, 5, 5, 4, 5, 2, 5, 4]","[2, 5, 3, 5, 3, 2, 4, 2, 5, 4, 5, 2, 5, 4]","[0, 30, 60, 135, 180, 270, 330, 390, 450, 495, 510, 555, 570, 600]"
2023-07-05,6562,666,"[0, 6, 5, 5, 3, 4, 2, 4, 7, 4, 5, 6, 2, 3, 5]","[0, 6, 5, 3, 4, 2, 4, 7, 4, 5, 6, 2, 3, 5]","[0, 30, 60, 105, 180, 240, 315, 375, 450, 495, 510, 555, 585, 645]"
2023-07-05,6542,662,"[1, 6, 2, 5, 2, 4, 2, 7, 5, 4, 5, 2, 5, 7]","[1, 6, 2, 5, 2, 4, 2, 7, 5, 4, 5, 2, 5, 7]","[0, 30, 60, 135, 180, 255, 315, 390, 450, 495, 510, 555, 570, 615]"
2023-07-05,6509,668,"[5, 7, 2, 6, 2, 5, 5, 7, 5, 6, 3, 2, 5, 4, 5]","[5, 7, 2, 6, 2, 5, 7, 5, 6, 3, 2, 5, 4, 5]","[0, 30, 90, 135, 195, 255, 315, 375, 420, 480, 555, 570, 615, 645]"
2023-07-05,6103,648,"[0, 6, 6, 5, 4, 7, 1, 3, 4, 2, 4, 4, 4, 4, 6, 5, 2]","[0, 6, 5, 4, 7, 1, 3, 4, 2, 4, 6, 5, 2]","[0, 30, 60, 105, 165, 225, 285, 360, 420, 495, 510, 555, 585]"
2023-07-05,6543,641,"[2, 6, 5, 2, 5, 7, 4, 2, 5, 5, 4, 4, 3, 5, 3, 3, 2]","[2, 6, 5, 2, 5, 7, 4, 2, 5, 4, 3, 5, 3, 2]","[0, 30, 60, 105, 165, 225, 285, 330, 405, 450, 495, 510, 555, 570]"
2023-07-05,6115,671,"[3, 4, 3, 4, 2, 4, 4, 6, 3, 3, 6, 4, 5, 4, 5]","[3, 4, 3, 4, 2, 4, 6, 3, 6, 4, 5, 4, 5]","[0, 30, 75, 135, 195, 255, 330, 390, 465, 525, 570, 615, 660]"
2023-07-05,6578,673,"[2, 4, 5, 4, 3, 4, 5, 5, 3, 4, 3, 6, 5, 4, 3, 0]","[2, 4, 5, 4, 3, 4, 5, 3, 4, 3, 6, 5, 4, 3]","[0, 30, 60, 120, 165, 240, 300, 360, 435, 495, 510, 555, 585, 615]"
