日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-28,4688,633,"[3, 5, 3, 6, 6, 7, 4, 4, 1, 7, 5, 7]","[3, 5, 3, 6, 7, 4, 1, 7, 5, 7]","[0, 30, 105, 150, 225, 300, 375, 390, 495, 555]"
2023-08-28,4705,672,"[7, 3, 2, 5, 4, 4, 4, 3, 6, 4, 6, 0, 1]","[7, 3, 2, 5, 4, 3, 6, 4, 6, 0]","[0, 60, 90, 180, 255, 330, 450, 525, 600, 660]"
2023-08-28,4720,660,"[4, 4, 3, 6, 4, 5, 5, 4, 1, 4, 7, 3]","[4, 3, 6, 4, 5, 4, 1, 4, 7, 3]","[0, 60, 75, 120, 210, 270, 360, 375, 465, 555]"
2023-08-28,4721,673,"[5, 5, 3, 3, 7, 6, 2, 4, 2, 0, 4, 0]","[5, 3, 7, 6, 2, 4, 2, 0, 4, 0]","[0, 30, 45, 120, 195, 285, 360, 450, 585, 660]"
2023-08-28,4722,660,"[3, 6, 6, 4, 3, 2, 1, 4, 6, 7, 4]","[3, 6, 4, 3, 2, 1, 4, 6, 7, 4]","[0, 30, 60, 165, 300, 375, 405, 495, 540, 615]"
2023-08-28,4677,653,"[7, 3, 3, 3, 4, 4, 5, 6, 6, 7, 1, 5, 7, 7, 7, 6]","[7, 3, 4, 5, 6, 7, 1, 5, 7, 6]","[0, 60, 90, 180, 240, 315, 405, 465, 525, 600]"
2023-08-28,4679,669,"[4, 3, 3, 5, 6, 5, 2, 3, 4, 6, 0, 0]","[4, 3, 5, 6, 5, 2, 3, 4, 6, 0]","[0, 60, 75, 165, 240, 315, 390, 510, 600, 660]"
2023-08-28,5193,672,"[7, 6, 4, 6, 2, 1, 7, 7, 4, 6, 4, 0]","[7, 6, 4, 6, 2, 1, 7, 4, 6, 4, 0]","[0, 60, 135, 210, 270, 360, 375, 465, 540, 600, 660]"
2023-08-28,4732,634,"[3, 3, 4, 3, 4, 7, 7, 4, 4, 1, 4, 5, 2]","[3, 4, 3, 4, 7, 4, 1, 4, 5, 2]","[0, 30, 105, 135, 210, 300, 360, 390, 480, 555]"
2023-08-28,4705,672,"[5, 6, 3, 4, 4, 0, 6, 2, 2, 4, 7, 3]","[5, 6, 3, 4, 0, 6, 2, 4, 7, 3]","[0, 30, 60, 90, 180, 300, 360, 465, 525, 585]"
