日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-07-07,6091,673,"[3, 3, 6, 5, 2, 6, 6, 4, 6, 4, 7, 4, 5, 6, 4]","[3, 6, 5, 2, 6, 4, 6, 4, 7, 4, 5, 6, 4]","[0, 30, 60, 120, 195, 240, 300, 360, 435, 495, 540, 600, 645]"
2023-07-07,6055,667,"[1, 1, 5, 5, 6, 4, 6, 2, 1, 4, 5, 5, 4, 6, 2, 5]","[1, 5, 6, 4, 6, 2, 1, 4, 5, 4, 6, 2, 5]","[0, 30, 60, 90, 150, 195, 210, 315, 375, 435, 480, 540, 645]"
2023-07-07,6060,675,"[3, 3, 3, 6, 6, 6, 3, 5, 3, 5, 6, 4, 6, 5, 5, 2, 2, 3, 4]","[3, 6, 3, 5, 3, 5, 6, 4, 6, 5, 2, 3, 4]","[0, 30, 60, 135, 195, 210, 270, 315, 390, 450, 495, 570, 645]"
2023-07-07,5651,656,"[5, 5, 4, 7, 6, 3, 2, 4, 2, 4, 7, 3, 5]","[5, 4, 7, 6, 3, 2, 4, 2, 4, 7, 3, 5]","[0, 30, 60, 120, 195, 210, 285, 345, 420, 480, 540, 615]"
2023-07-07,6082,673,"[1, 6, 6, 4, 7, 0, 2, 5, 5, 4, 5, 4, 6, 5, 3]","[1, 6, 4, 7, 0, 2, 5, 4, 5, 4, 6, 5, 3]","[0, 30, 60, 135, 195, 210, 285, 345, 405, 450, 510, 570, 615]"
2023-07-07,6086,641,"[2, 5, 6, 4, 5, 5, 3, 2, 4, 3, 5, 6, 6, 7, 4]","[2, 5, 6, 4, 5, 3, 2, 4, 3, 5, 6, 7, 4]","[0, 30, 45, 90, 135, 195, 210, 285, 345, 435, 480, 540, 600]"
2023-07-07,5665,670,"[1, 4, 3, 5, 4, 6, 4, 4, 4, 4, 7, 4, 1, 3, 4, 0, 1]","[1, 4, 3, 5, 4, 6, 4, 7, 4, 1, 3, 4]","[0, 30, 60, 150, 195, 210, 285, 345, 405, 465, 570, 645]"
2023-07-07,6104,667,"[4, 7, 4, 5, 3, 6, 5, 7, 4, 7, 6, 5, 4, 4]","[4, 7, 4, 5, 3, 6, 5, 7, 4, 7, 6, 5, 4]","[0, 30, 90, 135, 195, 210, 270, 330, 405, 465, 525, 585, 630]"
2023-07-07,5662,672,"[3, 4, 3, 6, 3, 7, 7, 2, 3, 6, 4, 6, 4]","[3, 4, 3, 6, 3, 7, 2, 3, 6, 4, 6, 4]","[0, 30, 60, 135, 195, 210, 300, 405, 495, 555, 600, 660]"
2023-07-07,6086,666,"[3, 5, 7, 2, 4, 2, 6, 5, 6, 6, 3, 4, 5, 4]","[3, 5, 7, 2, 4, 2, 6, 5, 6, 3, 4, 5, 4]","[0, 30, 45, 120, 195, 210, 285, 345, 405, 465, 555, 600, 645]"
