日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-12,4699,673,"[4, 7, 4, 5, 5, 4, 3, 4, 5, 2, 2, 5, 5, 1, 0]","[4, 7, 4, 5, 4, 3, 4, 5, 2, 5]","[0, 30, 105, 195, 240, 315, 420, 495, 570, 645]"
2023-08-12,4665,671,"[5, 6, 2, 3, 2, 6, 6, 4, 6, 4, 5]","[5, 6, 2, 3, 2, 6, 4, 6, 4, 5]","[0, 30, 60, 180, 270, 360, 420, 510, 570, 645]"
2023-08-12,4706,665,"[4, 4, 4, 6, 7, 4, 5, 5, 6, 4, 4, 4, 2, 4, 4, 6]","[4, 6, 7, 4, 5, 6, 4, 2, 4, 6]","[0, 30, 75, 165, 240, 315, 375, 450, 525, 615]"
2023-08-12,5094,675,"[5, 6, 5, 6, 5, 2, 5, 4, 7, 6, 3]","[5, 6, 5, 6, 5, 2, 5, 4, 7, 6, 3]","[0, 30, 60, 135, 210, 255, 330, 390, 465, 540, 600]"
2023-08-12,4719,674,"[4, 6, 7, 4, 6, 6, 4, 0, 7, 2, 5]","[4, 6, 7, 4, 6, 4, 0, 7, 2, 5]","[0, 30, 75, 165, 240, 300, 375, 495, 570, 660]"
2023-08-12,4705,667,"[4, 6, 7, 2, 4, 7, 5, 7, 5, 2]","[4, 6, 7, 2, 4, 7, 5, 7, 5, 2]","[0, 30, 75, 165, 240, 315, 405, 480, 540, 600]"
2023-08-12,4715,662,"[5, 6, 7, 4, 7, 7, 4, 4, 2, 4, 4, 6, 3]","[5, 6, 7, 4, 7, 4, 2, 4, 6, 3]","[0, 30, 60, 150, 225, 300, 375, 450, 540, 585]"
2023-08-12,4688,673,"[4, 5, 6, 4, 5, 4, 2, 7, 4, 4, 5]","[4, 5, 6, 4, 5, 4, 2, 7, 4, 5]","[0, 30, 90, 150, 225, 285, 360, 435, 540, 615]"
2023-08-12,4687,671,"[5, 6, 6, 7, 5, 5, 6, 6, 7, 4, 4, 2, 3, 4]","[5, 6, 7, 5, 6, 7, 4, 2, 3, 4]","[0, 30, 60, 150, 225, 285, 375, 435, 525, 615]"
2023-08-12,4668,661,"[5, 6, 7, 2, 2, 6, 5, 4, 6, 3, 7, 7]","[5, 6, 7, 2, 6, 5, 4, 6, 3, 7]","[0, 30, 60, 150, 240, 285, 360, 435, 510, 600]"
