日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-01,7989,632,"[4, 2, 7, 3, 4, 3, 3, 5, 4, 5, 5, 3, 4, 4, 3, 1, 3, 5, 3, 1]","[4, 2, 7, 3, 4, 3, 5, 4, 5, 3, 4, 3, 1, 3, 5, 3, 1]","[0, 30, 105, 165, 210, 240, 270, 300, 330, 375, 405, 420, 450, 525, 555, 585, 615]"
2022-07-01,7928,656,"[4, 6, 1, 7, 4, 6, 1, 4, 3, 5, 6, 4, 5, 3, 5, 1, 5]","[4, 6, 1, 7, 4, 6, 1, 4, 3, 5, 6, 4, 5, 3, 5, 1, 5]","[0, 30, 75, 150, 210, 225, 285, 345, 390, 420, 435, 510, 540, 555, 585, 615, 645]"
2022-07-01,7512,621,"[5, 4, 6, 4, 5, 3, 4, 1, 7, 5, 4, 3, 7, 1, 4, 1]","[5, 4, 6, 4, 5, 3, 4, 1, 7, 5, 4, 3, 7, 1, 4, 1]","[0, 30, 60, 120, 165, 195, 240, 285, 345, 420, 435, 465, 480, 540, 570, 600]"
2022-07-01,7481,636,"[6, 4, 3, 5, 4, 0, 3, 3, 0, 1, 5, 6, 1, 3, 5, 1, 4]","[6, 4, 3, 5, 4, 0, 3, 0, 1, 5, 6, 1, 3, 5, 1, 4]","[0, 45, 75, 120, 165, 180, 255, 300, 360, 435, 450, 510, 540, 555, 585, 600]"
2022-07-01,7976,661,"[4, 1, 3, 5, 4, 4, 4, 3, 4, 5, 4, 6, 3, 5, 5, 3, 2, 6, 3, 4]","[4, 1, 3, 5, 4, 3, 4, 5, 4, 6, 3, 5, 3, 2, 6, 3, 4]","[0, 30, 120, 165, 195, 225, 255, 285, 330, 360, 420, 450, 480, 495, 555, 615, 645]"
