日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-08-20,6526,674,"[5, 6, 5, 5, 5, 5, 4, 7, 5, 6, 4, 3, 6, 3, 2, 5, 4, 4, 1]","[5, 6, 5, 4, 7, 5, 6, 4, 3, 6, 3, 2, 5, 4]","[0, 30, 60, 135, 180, 255, 300, 360, 420, 465, 525, 555, 630, 645]"
2023-08-20,6140,675,"[4, 7, 7, 4, 4, 6, 4, 2, 2, 4, 4, 3, 2, 3, 5, 6, 7, 0]","[4, 7, 4, 6, 4, 2, 4, 3, 2, 3, 5, 6, 7]","[0, 30, 105, 150, 210, 270, 315, 360, 405, 465, 510, 570, 615]"
2023-08-20,6575,645,"[5, 6, 2, 4, 6, 5, 4, 6, 2, 2, 7, 7, 3, 4, 3, 4]","[5, 6, 2, 4, 6, 5, 4, 6, 2, 7, 3, 4, 3, 4]","[0, 30, 60, 120, 180, 240, 285, 330, 390, 435, 510, 525, 585, 600]"
2023-08-20,6133,674,"[2, 4, 2, 2, 2, 2, 3, 2, 5, 3, 6, 4, 3, 2, 2, 4, 4, 3]","[2, 4, 2, 3, 2, 5, 3, 6, 4, 3, 2, 4, 3]","[0, 90, 135, 195, 270, 315, 360, 405, 465, 510, 525, 585, 630]"
2023-08-20,6559,664,"[5, 7, 2, 4, 3, 5, 5, 5, 2, 7, 7, 5, 3, 2, 3, 5, 4, 0]","[5, 7, 2, 4, 3, 5, 2, 7, 5, 3, 2, 3, 5, 4]","[0, 30, 90, 150, 225, 270, 330, 375, 450, 510, 525, 570, 585, 645]"
