日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-08-01,6977,671,"[5, 4, 5, 0, 7, 5, 3, 6, 3, 6, 5, 6, 4, 5, 0, 0, 0]","[5, 4, 5, 0, 7, 5, 3, 6, 3, 6, 5, 6, 4, 5, 0]","[0, 30, 75, 120, 210, 270, 300, 345, 405, 435, 495, 525, 600, 615, 660]"
2022-08-01,6601,673,"[6, 5, 3, 7, 4, 7, 5, 0, 3, 4, 0, 3, 4, 3]","[6, 5, 3, 7, 4, 7, 5, 0, 3, 4, 0, 3, 4, 3]","[0, 45, 90, 135, 210, 240, 300, 345, 420, 465, 495, 570, 615, 645]"
2022-08-01,7029,673,"[6, 7, 1, 1, 2, 6, 6, 7, 3, 5, 4, 5, 4, 5, 3, 3, 2, 4]","[6, 7, 1, 2, 6, 7, 3, 5, 4, 5, 4, 5, 3, 2, 4]","[0, 45, 90, 165, 225, 270, 345, 390, 420, 450, 480, 525, 555, 585, 660]"
2022-08-01,6594,667,"[4, 3, 3, 7, 3, 0, 7, 5, 3, 1, 4, 6, 4, 5, 5, 0]","[4, 3, 7, 3, 0, 7, 5, 3, 1, 4, 6, 4, 5, 0]","[0, 45, 105, 180, 225, 285, 345, 390, 420, 495, 525, 585, 615, 660]"
2022-08-01,7044,668,"[5, 5, 6, 6, 7, 5, 2, 2, 2, 4, 3, 3, 4, 6, 5, 2, 0, 4, 7, 0]","[5, 6, 7, 5, 2, 4, 3, 4, 6, 5, 2, 0, 4, 7, 0]","[0, 30, 60, 120, 165, 225, 255, 300, 345, 405, 435, 480, 555, 600, 660]"
2022-08-01,7081,675,"[6, 4, 0, 0, 5, 4, 6, 2, 3, 4, 4, 2, 1, 4, 3, 4, 0]","[6, 4, 0, 5, 4, 6, 2, 3, 4, 2, 1, 4, 3, 4, 0]","[0, 45, 90, 180, 210, 240, 300, 360, 405, 435, 495, 570, 600, 645, 660]"
2022-08-01,7024,669,"[5, 3, 5, 5, 3, 4, 5, 5, 4, 2, 6, 5, 3, 4, 7, 7, 3, 0, 0]","[5, 3, 5, 3, 4, 5, 4, 2, 6, 5, 3, 4, 7, 3, 0]","[0, 30, 90, 135, 195, 225, 270, 315, 375, 435, 480, 525, 555, 615, 660]"
2022-08-01,7038,673,"[6, 6, 6, 4, 3, 5, 4, 2, 1, 4, 5, 5, 3, 5, 5, 3, 2, 7, 0]","[6, 4, 3, 5, 4, 2, 1, 4, 5, 3, 5, 3, 2, 7, 0]","[0, 45, 90, 135, 195, 225, 285, 360, 405, 435, 465, 495, 540, 600, 660]"
2022-08-01,7003,674,"[4, 4, 6, 2, 5, 5, 6, 2, 5, 6, 5, 6, 2, 3, 4, 3, 4]","[4, 6, 2, 5, 6, 2, 5, 6, 5, 6, 2, 3, 4, 3, 4]","[0, 45, 90, 150, 195, 255, 315, 345, 405, 435, 495, 555, 585, 615, 660]"
2022-08-01,6992,639,"[5, 6, 5, 7, 5, 4, 6, 3, 3, 0, 3, 4, 5, 5, 3, 5, 4]","[5, 6, 5, 7, 5, 4, 6, 3, 0, 3, 4, 5, 3, 5, 4]","[0, 30, 60, 120, 180, 225, 255, 315, 360, 450, 480, 510, 555, 585, 630]"
