日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2023-07-20,7039,674,"[4, 6, 4, 5, 6, 0, 6, 4, 5, 2, 7, 4, 2, 5, 4]","[4, 6, 4, 5, 6, 0, 6, 4, 5, 2, 7, 4, 2, 5, 4]","[0, 30, 60, 105, 150, 195, 285, 360, 390, 435, 480, 540, 585, 630, 660]"
2023-07-20,7062,675,"[0, 4, 5, 4, 2, 5, 3, 1, 1, 2, 4, 2, 6, 3, 2, 4]","[0, 4, 5, 4, 2, 5, 3, 1, 2, 4, 2, 6, 3, 2, 4]","[0, 30, 60, 105, 150, 195, 240, 300, 375, 420, 465, 510, 555, 615, 660]"
2023-07-20,6997,668,"[2, 2, 4, 5, 6, 3, 1, 4, 3, 5, 4, 5, 2, 6, 3, 5, 0, 1]","[2, 4, 5, 6, 3, 1, 4, 3, 5, 4, 5, 2, 6, 3, 5]","[0, 30, 60, 105, 165, 225, 285, 330, 390, 420, 465, 495, 555, 615, 660]"
2023-07-20,7037,662,"[3, 3, 5, 5, 6, 4, 4, 6, 4, 6, 4, 1, 4, 3, 4, 6, 6, 4, 5]","[3, 5, 6, 4, 6, 4, 6, 4, 1, 4, 3, 4, 6, 4, 5]","[0, 30, 60, 105, 150, 195, 240, 300, 345, 405, 450, 510, 540, 600, 630]"
2023-07-20,7021,666,"[3, 5, 3, 6, 4, 4, 1, 1, 4, 3, 4, 5, 4, 4, 5, 2, 7, 5, 5]","[3, 5, 3, 6, 4, 1, 4, 3, 4, 5, 4, 5, 2, 7, 5]","[0, 30, 60, 120, 195, 240, 315, 345, 405, 435, 480, 510, 540, 585, 645]"
