,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,585,600,615,630,645,660,675,690,705
ソアリン,150,140,120,120,120,110,100,100,90,90,90,90,95,100,100,100,100,100,95,85,85,90,90,90,100,100,90,90,95,95,95,95,95,100,110,95,110,110,100,90,95,90,0,0,0,0,0,0
トイストーリーマニア,100,110,110,120,100,100,100,100,90,70,70,70,75,75,65,65,80,80,75,75,75,75,85,75,75,70,70,75,80,80,80,70,70,75,75,75,80,80,85,70,60,75,75,0,0,0,0,0
タワーオブテラー,5,110,120,100,90,90,80,80,80,75,70,65,75,70,65,60,70,80,70,65,55,65,60,65,70,70,65,55,55,65,65,65,65,60,65,65,70,70,70,70,75,75,75,0,0,0,0,0
センターオブジアース,60,60,65,70,70,65,65,65,60,55,55,50,50,50,50,50,50,55,50,45,50,55,55,55,50,45,50,45,45,45,45,45,40,40,40,35,50,45,40,40,40,35,35,45,50,45,0,0
インディージョーンズ,25,25,50,55,55,50,45,45,45,45,40,40,40,35,40,40,40,35,35,40,35,50,45,45,40,40,40,35,35,35,35,35,35,30,25,35,35,35,35,30,25,20,20,20,25,25,20,15
レイジングスピリッツ,5,10,40,45,45,50,45,45,40,40,35,35,40,40,45,35,35,40,35,35,40,40,40,40,40,40,35,35,30,40,40,40,35,35,35,30,35,40,40,35,25,25,25,25,25,25,25,0
マジックランプシアター,0,0,0,0,5,15,20,25,25,20,20,15,25,25,25,15,15,15,20,25,25,15,15,15,20,25,30,15,15,25,25,20,25,20,25,25,30,15,20,25,25,15,15,25,0,0,0,0
タートルトーク,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
