,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,585,600,615,630,645,660,675,690,705
ソアリン,0,120,130,130,130,130,130,110,115,115,115,110,110,100,95,105,110,120,120,105,105,105,110,105,105,105,105,110,110,110,120,110,120,120,120,135,125,125,110,105,105,95,85,80,0,0,0,0
トイストーリーマニア,0,110,120,120,120,120,120,120,120,110,110,90,90,90,100,100,100,100,100,90,90,85,85,95,115,110,100,90,80,90,90,90,100,110,120,110,110,100,100,90,90,75,65,55,45,35,35,0
タワーオブテラー,0,45,60,60,55,55,50,50,55,60,55,55,60,60,60,50,50,45,45,65,60,60,55,50,50,50,50,55,55,55,50,50,45,50,45,50,50,50,55,55,45,45,40,35,40,35,35,0
センターオブジアース,0,50,55,60,60,65,70,70,70,70,60,60,65,65,65,60,60,60,60,65,65,65,60,60,60,65,70,70,60,50,50,50,50,60,50,45,50,45,45,50,50,40,35,30,20,20,20,0
インディージョーンズ,0,15,35,50,50,50,50,50,50,55,55,50,45,45,45,50,50,50,50,50,50,50,50,45,50,45,45,40,40,40,40,30,30,35,35,40,35,30,30,30,25,20,15,5,5,5,5,5
レイジングスピリッツ,0,10,20,35,35,35,45,40,40,40,40,40,40,35,40,40,40,40,35,35,35,45,45,45,35,35,35,35,40,35,35,35,35,35,25,25,25,25,35,30,25,25,20,15,10,10,5,5
マジックランプシアター,0,0,0,0,0,20,20,25,20,15,15,20,20,25,25,25,20,20,20,25,15,30,35,35,25,35,25,30,15,25,15,25,15,15,15,20,20,25,15,15,15,15,20,25,15,15,15,0
タートルトーク,0,20,15,20,20,20,20,30,30,30,30,20,35,30,30,30,30,35,30,50,35,35,35,40,40,40,35,40,35,40,35,40,20,35,35,15,15,40,40,20,20,15,20,15,15,15,15,15
