,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,585,600,615,630,645,660,675,690,705
ソアリン,5,125,120,110,100,95,85,75,70,70,75,70,70,70,80,70,70,65,75,80,75,75,75,80,80,80,85,85,85,70,70,85,95,90,85,80,70,60,60,80,85,70,45,40,40,40,35,0
トイストーリーマニア,100,100,90,90,100,85,70,75,55,40,40,55,60,55,55,55,55,55,45,45,50,55,60,60,70,60,65,65,65,60,60,60,65,70,70,60,45,40,55,55,55,50,45,45,35,30,30,0
タワーオブテラー,30,45,45,45,65,40,30,30,35,35,25,25,25,35,45,30,25,25,25,30,30,25,25,20,25,35,35,35,35,35,30,30,30,35,35,25,15,15,35,30,20,15,25,20,15,15,15,20
センターオブジアース,40,40,55,60,55,50,50,45,45,45,45,40,35,30,40,35,35,35,35,35,40,35,30,35,35,35,45,45,0,0,0,0,0,10,40,45,40,40,35,40,40,40,25,20,20,10,10,25
インディージョーンズ,5,5,20,25,50,60,45,45,40,40,25,20,30,30,30,30,35,35,30,30,30,20,25,25,30,30,35,35,40,55,40,20,40,40,35,35,30,25,20,20,25,25,15,5,5,5,5,10
レイジングスピリッツ,5,5,10,25,30,35,40,40,35,35,30,20,20,20,25,25,25,20,15,25,20,20,20,15,25,40,25,20,5,15,35,40,35,30,25,25,25,25,25,25,25,20,10,10,5,5,5,5
マジックランプシアター,0,0,0,0,5,20,20,25,15,15,15,20,25,25,15,15,15,20,20,25,25,20,20,20,20,20,30,20,20,25,25,20,25,15,15,20,20,25,15,15,20,25,25,25,15,15,15,0
タートルトーク,15,20,20,20,30,30,25,35,15,20,20,20,20,30,30,15,15,20,20,35,20,30,30,15,30,30,15,20,20,20,20,30,15,30,20,20,20,20,20,20,15,15,20,20,15,20,20,15
