,0.0,15.0,30.0,45.0,60.0,75.0,90.0,105.0,120.0,135.0,150.0,165.0,180.0,195.0,210.0,225.0,240.0,255.0,270.0,285.0,300.0,315.0,330.0,345.0,360.0,375.0,390.0,405.0,420.0,435.0,450.0,465.0,480.0,495.0,510.0,525.0,540.0,555.0,570.0,585.0,600.0,615.0,630.0,645.0,660.0,675.0,690.0,705.0
ソアリン,112.5,130.0,130.0,130.0,120.0,110.0,100.0,90.0,90.0,90.0,90.0,90.0,95.0,95.0,90.0,90.0,90.0,85.0,85.0,85.0,85.0,85.0,90.0,85.0,85.0,85.0,87.5,90.0,90.0,85.0,85.0,90.0,90.0,90.0,95.0,95.0,95.0,90.0,90.0,90.0,85.0,80.0,70.0,65.0,40.0,0.0,0.0,0.0
トイストーリーマニア,90.0,110.0,110.0,100.0,100.0,90.0,82.5,80.0,75.0,70.0,67.5,65.0,65.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,65.0,70.0,70.0,70.0,70.0,75.0,75.0,70.0,65.0,65.0,65.0,55.0,50.0,40.0,30.0,0.0,0.0
タワーオブテラー,45.0,65.0,70.0,70.0,70.0,65.0,60.0,60.0,60.0,60.0,55.0,55.0,55.0,50.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,50.0,50.0,50.0,52.5,50.0,52.5,50.0,50.0,55.0,55.0,55.0,55.0,50.0,50.0,45.0,50.0,45.0,40.0,20.0,0.0,0.0
センターオブジアース,37.5,50.0,60.0,57.5,55.0,55.0,55.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,45.0,50.0,47.5,50.0,50.0,45.0,45.0,45.0,45.0,45.0,42.5,45.0,47.5,45.0,45.0,42.5,40.0,40.0,40.0,37.5,35.0,30.0,25.0,22.5,20.0,0.0
インディージョーンズ,10.0,15.0,35.0,45.0,45.0,45.0,40.0,40.0,40.0,40.0,40.0,40.0,35.0,37.5,40.0,35.0,40.0,35.0,35.0,35.0,35.0,42.5,40.0,40.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,30.0,25.0,30.0,30.0,30.0,30.0,30.0,27.5,25.0,25.0,20.0,15.0,15.0,10.0,5.0,5.0,5.0
レイジングスピリッツ,5.0,5.0,20.0,35.0,40.0,40.0,35.0,35.0,35.0,35.0,32.5,30.0,30.0,30.0,30.0,30.0,35.0,30.0,30.0,30.0,30.0,30.0,35.0,35.0,35.0,35.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,25.0,20.0,15.0,15.0,10.0,5.0,5.0
マジックランプシアター,0.0,0.0,0.0,0.0,5.0,20.0,20.0,25.0,25.0,25.0,15.0,20.0,25.0,25.0,25.0,20.0,20.0,25.0,20.0,25.0,25.0,20.0,20.0,25.0,20.0,25.0,30.0,20.0,20.0,25.0,25.0,25.0,30.0,20.0,20.0,25.0,20.0,25.0,25.0,20.0,20.0,15.0,20.0,20.0,0.0,0.0,0.0,0.0
タートルトーク,0.0,2.5,0.0,7.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,25.0,25.0,30.0,30.0,30.0,30.0,22.5,20.0,30.0,20.0,20.0,22.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,20.0,15.0,15.0,15.0,15.0,20.0
