,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,585,600,615,630,645,660,675,690,705
ソアリン,0,80,90,110,110,105,95,90,95,85,80,85,85,80,75,75,70,65,65,95,100,110,110,65,60,75,70,70,70,70,70,75,70,75,75,75,70,60,65,65,65,60,55,50,40,35,30,0
トイストーリーマニア,0,65,70,70,65,60,50,50,55,55,50,50,50,55,55,55,55,45,45,55,55,55,55,55,55,55,55,55,50,50,50,50,55,55,55,55,55,45,55,55,40,35,35,40,35,25,25,0
タワーオブテラー,0,60,50,50,45,35,40,45,50,50,45,40,40,45,45,45,45,40,40,40,40,40,40,40,40,45,45,45,35,35,30,30,40,40,40,35,35,60,70,60,60,40,40,30,25,15,20,0
センターオブジアース,0,35,50,50,50,50,45,45,50,55,50,55,55,55,55,50,50,50,45,50,45,50,45,45,45,50,50,50,45,45,45,45,45,45,40,40,35,30,40,45,45,40,30,30,10,10,10,0
インディージョーンズ,0,5,15,25,40,35,35,30,35,35,35,35,30,30,30,30,30,30,30,25,30,30,30,30,30,30,30,30,25,25,20,20,20,20,10,20,20,20,20,15,15,5,5,5,5,5,5,5
レイジングスピリッツ,0,5,5,15,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,20,30,25,30,30,30,30,30,30,25,25,25,25,25,25,25,25,20,20,20,20,15,15,15,10,5,5,5,5
マジックランプシアター,0,0,0,0,0,15,20,20,25,15,15,15,15,25,25,20,20,15,20,25,25,15,15,25,30,30,25,15,15,15,20,25,15,15,15,25,20,25,25,15,15,15,20,25,25,15,25,0
タートルトーク,0,20,15,15,20,20,20,20,20,15,15,15,15,15,15,20,15,20,20,20,20,15,15,20,20,20,20,15,15,15,15,15,15,20,20,15,15,25,15,15,15,15,15,15,15,15,15,25
