,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,585,600,615,630,645,660,675,690,705
ソアリン,170,170,150,140,130,140,140,140,120,120,120,120,115,120,130,130,130,115,115,120,120,125,130,130,130,130,130,130,130,130,130,140,140,150,150,150,150,150,150,140,130,120,0,0,0,0,0,0
トイストーリーマニア,110,130,130,120,120,120,110,110,100,100,100,100,100,110,110,90,90,90,90,100,100,100,110,110,110,110,105,105,95,95,110,100,110,110,100,90,100,120,110,90,90,90,95,95,0,0,0,0
タワーオブテラー,110,100,95,95,100,100,100,100,110,110,110,110,110,75,70,80,90,90,90,90,90,90,90,100,110,100,100,100,90,90,90,90,100,100,100,110,110,100,90,90,90,90,100,0,0,0,0,0
センターオブジアース,45,60,65,70,80,80,85,80,75,75,85,85,75,75,75,75,65,75,75,70,70,70,75,75,70,70,70,70,70,75,70,65,60,55,60,60,70,65,65,65,60,55,55,60,70,65,0,0
インディージョーンズ,35,30,45,55,60,60,60,60,70,50,50,50,55,55,50,55,50,45,45,50,60,55,50,55,45,50,50,50,45,45,45,50,45,45,40,40,45,45,50,45,35,35,35,40,40,35,30,0
レイジングスピリッツ,5,5,40,45,45,45,50,50,55,55,55,55,45,45,40,45,45,45,45,45,50,50,50,50,45,40,40,40,40,40,45,45,45,45,45,40,40,40,40,40,35,40,40,40,40,30,0,0
マジックランプシアター,0,0,0,0,5,20,20,25,25,30,30,15,20,25,25,30,15,15,20,20,25,30,35,35,40,25,30,30,35,30,25,25,30,20,20,25,30,30,20,20,15,15,15,20,0,0,0,0
タートルトーク,0,0,0,0,5,35,35,45,35,40,40,35,40,35,40,35,35,35,20,30,45,45,45,45,35,35,35,35,20,35,45,45,45,35,35,30,35,35,20,30,30,20,35,30,30,35,20,35
